z_true z_phot
0.171583 0.169178
0.171621 0.129032
0.171639 0.18508
0.171643 0.169564
0.171683 0.147931
0.171699 0.177711
0.171758 0.175683
0.171779 0.17728
0.171818 0.129343
0.172011 0.094704
0.172027 0.178378
0.172035 0.179519
0.172173 0.157241
0.172291 0.188141
0.172325 0.169103
0.1724 0.182117
0.172404 0.178481
0.172545 0.147897
0.172599 0.178976
0.172604 0.170519
0.172669 0.169939
0.172734 0.189248
0.172927 0.128582
0.172929 0.177817
0.172931 0.080357
0.172932 0.188037
0.173 0.179489
0.173095 0.164459
0.173106 0.165308
0.173141 0.165762
0.173252 0.168515
0.173265 0.134043
0.1733 0.166529
0.173369 0.170911
0.173421 0.144603
0.17343 0.248258
0.173432 0.180967
0.173737 2.74784
0.173767 2.739298
0.173875 0.185007
0.173916 0.150881
0.173957 0.182662
0.173959 0.163343
0.173987 0.172161
0.174062 0.209493
0.174073 0.169526
0.174242 0.177714
0.174257 0.171313
0.174294 2.450234
0.174296 0.244453
0.174342 0.181244
0.17435 0.18034
0.174426 0.187944
0.174475 0.163734
0.174505 0.189648
0.174565 0.172067
0.174683 0.177743
0.174729 0.186414
0.174788 0.170118
0.174827 0.158118
0.174932 0.206352
0.174985 0.130793
0.175206 0.173172
0.175218 0.122206
0.175289 0.158506
0.175365 0.114046
0.175398 0.171321
0.17559 0.172899
0.175676 0.190025
0.175801 0.176654
0.175893 0.204
0.175939 0.165744
0.176041 0.182047
0.176052 0.171117
0.176072 0.177926
0.176153 0.158447
0.176309 0.187684
0.176317 0.132719
0.176353 0.165153
0.176401 0.148074
0.176411 0.169373
0.176463 0.216242
0.176577 0.196145
0.176581 0.184173
0.176601 0.173498
0.176679 0.197255
0.176691 0.202275
0.176792 0.182507
0.176811 0.181152
0.176826 0.151692
0.176873 0.212601
0.176894 0.176116
0.176914 0.147841
0.17693 0.180728
0.177008 0.180887
0.177015 0.197952
0.177028 0.174569
0.17712 0.183603
0.177141 0.161135
0.177168 0.163162
0.177273 0.180519
0.177371 0.18125
0.177401 0.16869
0.177428 0.186419
