zphoto zspec
0.294768 0.468453
0.372858 0.468453
0.365103 0.468483
0.261297 0.468696
0.205902 0.468724
0.358519 0.468736
0.379818 0.468751
0.351295 0.468919
0.378683 0.469007
0.356122 0.469025
0.370406 0.469046
0.297126 0.469085
0.37174 0.469406
0.370055 0.469587
0.357653 0.469712
0.335916 0.469712
0.36758 0.469908
0.380435 0.469951
0.371683 0.470121
0.379311 0.47032
0.337461 0.470371
0.339064 0.470399
0.380041 0.470405
0.315699 0.47042
0.297319 0.470427
0.304716 0.470576
0.301813 0.47103
0.372362 0.471049
0.338813 0.471062
0.308147 0.471376
0.268161 0.471377
0.566876 0.471469
0.317717 0.471514
0.36211 0.471527
0.372385 0.471906
0.360329 0.471923
0.283497 0.471931
0.364647 0.471932
0.384642 0.471998
0.276979 0.472015
0.347108 0.472017
0.364544 0.472159
0.371156 0.472177
0.351974 0.472201
0.36013 0.472242
0.209561 0.472375
0.326234 0.472523
0.347121 0.472599
0.376351 0.472845
0.370901 0.472932
0.261297 0.472958
0.359887 0.473085
0.375246 0.473103
0.372339 0.473105
0.389345 0.473265
0.22243 0.473337
0.370837 0.473442
0.3732 0.473679
0.308198 0.473744
0.3374 0.473814
0.258133 0.473832
0.386676 0.473932
0.364062 0.474145
0.269969 0.47415
0.312543 0.474342
2.426617 0.474478
0.34418 0.474549
0.361187 0.474583
0.381067 0.474585
0.375224 0.474805
0.331847 0.474805
0.36732 0.474908
0.269679 0.475103
0.384737 0.475103
0.298653 0.475212
0.324598 0.475249
0.383716 0.475317
0.367476 0.475414
0.274438 0.475658
0.262773 0.475681
0.237966 0.475713
0.38734 0.475837
0.377897 0.475995
0.385487 0.476004
0.260287 0.476195
0.573854 0.4764
0.380495 0.476801
0.38042 0.476806
0.331827 0.476826
0.367214 0.476937
0.281453 0.477096
0.3453 0.477123
0.316969 0.477281
0.343558 0.477299
0.250254 0.477391
0.2541 0.477613
0.357741 0.477684
0.24054 0.477956
0.317612 0.478034
0.314621 0.478268
0.326115 0.478547
0.270213 0.478606
0.352292 0.479077
0.29503 0.479173
0.308264 0.479588
0.385765 0.479707
0.378676 0.479762
0.378075 0.479834
0.274624 0.480006
0.393042 0.480039
0.213311 0.480497
0.368925 0.480564
0.393232 0.480586
0.318975 0.4811
0.380586 0.481266
0.392011 0.481673
0.34462 0.481793
0.355086 0.481877
0.382211 0.481892
0.378404 0.482032
0.310424 0.482087
0.336249 0.482247
0.39481 0.482484
0.391538 0.482544
0.378949 0.482602
0.315902 0.482619
0.37118 0.482687
0.372993 0.482741
0.36766 0.482801
0.338579 0.482848
0.382051 0.482876
0.312543 0.483102
0.310879 0.483241
0.382882 0.483314
0.361598 0.483454
0.180598 0.483509
0.318612 0.483757
0.33393 0.48376
0.377491 0.483997
0.343798 0.484046
0.373172 0.484146
0.392856 0.484212
0.387358 0.484261
0.229135 0.484269
0.338806 0.484304
0.386435 0.48455
0.398005 0.484669
0.346702 0.484698
0.397861 0.484706
0.394741 0.484718
0.363426 0.484718
0.245953 0.484794
0.203681 0.484829
0.337461 0.484926
0.362797 0.485042
0.37182 0.485084
0.386504 0.485304
0.274438 0.485444
0.265846 0.485534
0.398356 0.485599
0.376722 0.486087
0.401921 0.486737
0.360896 0.486847
0.259244 0.487041
0.378211 0.48743
0.316969 0.487851
0.347952 0.487901
0.344296 0.488074
0.386045 0.488081
0.402561 0.488314
0.340197 0.488464
0.278977 0.488558
0.343814 0.488679
0.377003 0.488729
0.212239 0.488746
0.227144 0.488917
0.368405 0.488955
0.360503 0.489074
0.368055 0.489075
0.367588 0.489197
0.392774 0.489676
0.383493 0.489799
0.385428 0.490027
0.344618 0.490122
0.227536 0.490224
0.258779 0.49031
0.369395 0.490344
0.367933 0.490421
0.384406 0.490689
0.377941 0.490756
0.259279 0.490777
0.398054 0.490831
0.17933 0.490892
0.355522 0.490892
0.367468 0.490941
0.231206 0.49097
0.379104 0.491028
